Species,UJ_lateral_rotation,LJ_dorsoventral_flexion,Jaws_posterior_motion,NC_ventral_rotation,Pelvic_ventral_contraction,Lateral_headflick
Acanthurus_japonicus,0,1,0,1,1,0
Acanthurus_leucosternon,0,1,0.235294118,1,0.970588235,0.235294118
Naso_lituratus,0.16,0,0.04,0,0,1
Naso_elegans,0.25,0,0,0,0,1
Prionurus_laticlavius,0.272727273,0.818181818,0.363636364,0.681818182,0.681818182,0.681818182
Zebrasoma_desjardinii,1,0,0,0,0.407407407,0.814814815
Zebrasoma_velifer,1,0,0,0.230769231,0.538461538,0.961538462
Acanthurus_bahianus,1,0.263157895,0.157894737,0.421052632,0.210526316,0.789473684
Acanthurus_coeruleus,0.166666667,0.27778,0.444444444,1,0.944444444,0.388888889
Acanthurus_chirurgus,0.769230769,0.346153846,0.307692308,0.423076923,0.692307692,0.923076923
Acanthurus_nigrofuscus,0.05,0.1,0,0.95,0.75,1
Acanthurus_xanthopterus,0.971428571,0,0.114285714,0.257142857,0.171428571,0.8
Ctenochaetus_strigosus,0,1,0.954545455,0,0.090909091,0
Paracanthurus_hepatus,1,0,0,0.25,0.375,1
Acanthurus_lineatus,0.12,0.88,0.08,0.72,0.64,0.96
Zanclus_cornutus,1,0,0.133333333,1,0.266666667,1
Apolemichthys_xanthurus,0,0,0,0.625,0,1
Centropyge_tribicen,0,0,0,0.625,0.5,1
Siganus_magnificus,0,0,0,0.1,0,0
Kyphosus_vaigiensis,0,0,0,0.8,0.8,1
Chaetodon_kleinii,0,0,0,0.5,0,1
